,From,To,TEU
358,VNM,NAM,769719
359,VNM,OCE,76237
360,KHM,JPN,3130
361,KHM,LKA,3
362,KHM,HKG,4728
363,KHM,CHN,10741
364,KHM,SGP,4393
365,KHM,MYS,3411
366,KHM,KOR,4717
367,KHM,IND,320
368,KHM,OAS,749
369,KHM,PAK,5
370,KHM,IDN,189
371,KHM,PHL,158
372,KHM,BGD,6
373,KHM,THA,4983
374,KHM,VNM,6679
375,KHM,KHM,0
376,KHM,MMR,12
377,KHM,AFR,1096
378,KHM,EUR,15001
379,KHM,ELT,431
380,KHM,WLT,33
381,KHM,MDE,213
382,KHM,NAM,14112
383,KHM,OCE,732
384,MMR,JPN,26606
385,MMR,LKA,19
386,MMR,HKG,4072
387,MMR,CHN,61031
388,MMR,SGP,15744
389,MMR,MYS,12263
390,MMR,KOR,11907
391,MMR,IND,18303
392,MMR,OAS,29
393,MMR,PAK,508
394,MMR,IDN,2032
395,MMR,PHL,126
396,MMR,BGD,2274
397,MMR,THA,16366
398,MMR,VNM,2812
399,MMR,KHM,4
400,MMR,MMR,0
401,MMR,AFR,170
402,MMR,EUR,8915
403,MMR,ELT,759
404,MMR,WLT,10
405,MMR,MDE,4070
406,MMR,NAM,3543
407,MMR,OCE,536
408,AFR,JPN,203974
409,AFR,LKA,1992
410,AFR,HKG,100954
411,AFR,CHN,801348
412,AFR,SGP,131271
413,AFR,MYS,161060
414,AFR,KOR,80706
415,AFR,IND,288853
416,AFR,OAS,48327
417,AFR,PAK,15316
418,AFR,IDN,116177
419,AFR,PHL,7060
420,AFR,BGD,68099
421,AFR,THA,59835
422,AFR,VNM,101879
423,AFR,KHM,382
424,AFR,MMR,139
425,AFR,AFR,0
426,AFR,EUR,2851095
427,AFR,ELT,125757
428,AFR,WLT,0
429,AFR,MDE,360964
430,AFR,NAM,634412
431,AFR,OCE,0
432,EUR,JPN,220086
433,EUR,LKA,15215
434,EUR,HKG,188444
435,EUR,CHN,12992084
436,EUR,SGP,203965
437,EUR,MYS,91123
438,EUR,KOR,389056
439,EUR,IND,334475
440,EUR,OAS,129294
441,EUR,PAK,41224
442,EUR,IDN,85444
443,EUR,PHL,54966
444,EUR,BGD,21879
445,EUR,THA,106155
446,EUR,VNM,81943
447,EUR,KHM,3620
448,EUR,MMR,3144
449,EUR,AFR,586970
450,EUR,EUR,0
451,EUR,ELT,688343
452,EUR,WLT,2201
453,EUR,MDE,2237618
454,EUR,NAM,2149719
455,EUR,OCE,5011
